title,address,city,state,postal_code,price,facts and features,real estate provider,url
New construction,,Bloomington,IN,47404,"$340,000","3 bds, 2.0 ba ,2065 sqft",Millican Realty,https://www.zillow.com/homedetails/4271-N-Centennial-Dr-LOT-1-Bloomington-IN-47404/2079536774_zpid/
House for sale,,Bloomington,IN,47404,"$344,900","5 bds, 3.0 ba ,3150 sqft",Eagle Pointe Realty Corp,https://www.zillow.com/homedetails/2770-N-Andy-Way-Bloomington-IN-47404/211053191_zpid/
Apartment for sale,,Bloomington,IN,47404,"$349,900","8 bds, 4.0 ba ,3590 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/939-943-943-5-N-Jackson-St-Bloomington-IN-47404/2079552659_zpid/
New construction,,Bloomington,IN,47404,"$330,000","3 bds, 2.0 ba ,1746 sqft",Millican Realty,https://www.zillow.com/homedetails/3761-W-Denise-Dr-Bloomington-IN-47404/2079560680_zpid/
House for sale,,Bloomington,IN,47404,"$234,900","3 bds, 2.0 ba ,1488 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/3795-N-Collins-Dr-Bloomington-IN-47404/85594908_zpid/
House for sale,,Bloomington,IN,47404,"$199,500","4 bds, 3.0 ba ,1989 sqft",Millican Realty,https://www.zillow.com/homedetails/2702-N-Skyline-Dr-Bloomington-IN-47404/94515679_zpid/
House for sale,,Bloomington,IN,47404,"$132,000","1 bds, 1.0 ba ,812 sqft",Dan Rarey Real Estate,https://www.zillow.com/homedetails/901-W-7th-St-Bloomington-IN-47404/94516790_zpid/
House for sale,,Bloomington,IN,47404,"$207,000","3 bds, 2.0 ba ,1460 sqft","Bloomington - WEICHERT, REALTORS - The Brawley Group",https://www.zillow.com/homedetails/3745-N-Armstrong-Dr-Bloomington-IN-47404/85595908_zpid/
House for sale,,Bloomington,IN,47404,"$215,000","3 bds, 2.0 ba ,1536 sqft",Evergreen Real Estate & Auctions,https://www.zillow.com/homedetails/1218-N-Logan-Rd-Bloomington-IN-47404/102876928_zpid/
New construction,,Bloomington,IN,47404,"$390,000","4 bds, 3.0 ba ,2366 sqft",RE/MAX Acclaimed Properties,https://www.zillow.com/homedetails/4288-W-Buick-Dr-Bloomington-IN-47404/2079650123_zpid/
New construction,,Bloomington,IN,47404,"$419,000","5 bds, 3.0 ba ,2690 sqft",Century 21 Scheetz - Bloomington,https://www.zillow.com/homedetails/4670-N-Triple-Crown-Dr-Bloomington-IN-47404/2079652856_zpid/
House for sale,,Bloomington,IN,47404,"$199,000","3 bds, 2.0 ba ,1598 sqft",eXp Realty - Kirkwood Realty,https://www.zillow.com/homedetails/5470-W-State-Road-48-Bloomington-IN-47404/85595866_zpid/
Apartment for sale,,Bloomington,IN,47404,"$205,000","9 bds, 5.0 ba ,4076 sqft",Blackwell Contractors Inc.,https://www.zillow.com/homedetails/5089-N-Lakeview-Dr-Bloomington-IN-47404/120236780_zpid/
New construction,,Bloomington,IN,47404,"$598,500","2 bds, 2.0 ba ,1617 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-304-Bloomington-IN-47404/2100919180_zpid/
House for sale,,Bloomington,IN,47404,"$189,900","3 bds, 2.0 ba ,1107 sqft",Dan Rarey Real Estate,https://www.zillow.com/homedetails/4241-W-Broadway-Ave-Bloomington-IN-47404/85595113_zpid/
For sale by owner,,Bloomington,IN,47404,"$195,000","3 bds, 2.0 ba ,1400 sqft",,https://www.zillow.com/homedetails/602-W-Clover-Ter-Bloomington-IN-47404/85578607_zpid/
House for sale,,Bloomington,IN,47404,"$579,900","5 bds, 3.0 ba ,3779 sqft",INDIANA Dave Real Estate,https://www.zillow.com/homedetails/4722-N-Louden-Rd-Bloomington-IN-47404/85595835_zpid/
New construction,,Bloomington,IN,47404,"$599,500","3 bds, 3.0 ba ,1771 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-212-Bloomington-IN-47404/2102168292_zpid/
New construction,,Bloomington,IN,47404,"$649,500","2 bds, 3.0 ba ,1363 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-312-Bloomington-IN-47404/2079897768_zpid/
New construction,,Bloomington,IN,47404,"$519,500","2 bds, 3.0 ba ,1344 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-302-Bloomington-IN-47404/2079897765_zpid/
New construction,,Bloomington,IN,47404,"$479,500","2 bds, 2.0 ba ,1421 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-307-Bloomington-IN-47404/2079897762_zpid/
Condo for sale,,Bloomington,IN,47404,"$499,500","2 bds, 2.0 ba ,1526 sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/304-W-Kirkwood-Ave-APT-305-Bloomington-IN-47404/2079897763_zpid/
Lot / Land for sale,,Bloomington,IN,47404,"$45,000","None bds, None ba ,None sqft",FC Tucker/Bloomington REALTORS,https://www.zillow.com/homedetails/47-48-N-Shelburne-Dr-Bloomington-IN-47404/2079898915_zpid/
Lot / Land for sale,,Bloomington,IN,47404,"$360,000","None bds, None ba ,None sqft",RE/MAX Realty Professionals,https://www.zillow.com/homedetails/3936-Wintersweet-Dr-Bloomington-IN-47404/2079899224_zpid/
House for sale,,Bloomington,IN,47404,"$29,900","3 bds, 2.0 ba ,1792 sqft",Berkshire Hathaway Home Services Indiana Realty,https://www.zillow.com/homedetails/656-N-North-St-Bloomington-IN-47404/2079922503_zpid/
House for sale,,Bloomington,IN,47404,"$499,900","4 bds, 4.0 ba ,3932 sqft",Dan Rarey Real Estate,https://www.zillow.com/homedetails/5042-W-De-Ann-Dr-Bloomington-IN-47404/102875984_zpid/
House for sale,,Bloomington,IN,47404,"$132,000","2 bds, 1.0 ba ,616 sqft",Dan Rarey Real Estate,https://www.zillow.com/homedetails/1205-W-7th-St-Bloomington-IN-47404/94516202_zpid/
